siteB,lat,lon,count_n,count_y,count_c,count_h,count_obs,frac_farmed,last_yr_y,first_yr_n,last_yr_farmed,smpl.yr,YSF,BD,MC60,WEPw,TP.ign,HCl.Pi,HCl.Po,LOI,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,sand,silt,clay,fines,Ox.PSC,Ox.DPS,Ox.P2Fe,WFPS,Ox.P2Al,Ox.Al2Fe,HCl.PSR,MM.P,MM.P.ICP,MM.K,MM.Mg,MM.Ca,MM.Al,MM.B,MM.Cu,MM.Fe,MM.Mn,MM.Na,MM.S,MM.Zn,IP2TP,FF,TP,Pi,Po,Pi2TP,site_ID,study,OBJECTID,IDN,sample_date,project,Land_Use,LU_HSG,Transect,TPMD,TOP,Total_Inorganic,F__N,F__C,pH,TEXTURE,HSG,Al,Ca,Cu,Fe,K,Mg,Mn,Na,S,F39,F40,F41,F42,Value,Hydrogroup,HSG_2,sampledate,sample_yr
OCDFN,43.7808944444444,-73.0989805555556,4,5,0,0,9,0.555555555555555,2016,2003,2016,2021.525,5.52500000000009,0.9223020255833333,0.29813653459910583,2.5412732072770736,1023.291117475485,706.8427417427097,316.4483757327761,0.05296715121318676,548.0349025237946,1021.3199650150465,3121.1058182710935,88.96587966124247,0.19028631707386792,116.6308466986144,27.066666666666666,65.43333333333334,7.5,72.93333333333334,2900.381633041684,0.38057263414773473,0.32394458305540574,0.43795742763722384,0.4666826644940139,0.690575501572061,0.24533990477428497,8.240369485564493,11.564061203016738,91.06903501427898,111.43796794165695,600.3282102529021,41.96754922512977,0.10899675166021226,1.5964167178587376,76.76949626643976,7.066616150226471,13.37202580074592,7.4634385681539,2.7998181706704344,0.690476203691406,0.555555555555555,1023.291117475485,706.8427417427097,316.4483757327753,0.690476203691406,OCDFN,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,44.819531,-72.823867,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,20,NA,NA,NA,NA,NA,NA,0.24312169744373333,668,2250,5140,452.9999999999999,0.12304993311550184,581.7679522446091,36.733333333333334,42.9,20.333333333333332,NA,5428.690476190476,NA,NA,NA,NA,NA,NA,1.5410000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888.6666666666666,645.17638891867,243.49027774799663,0.7260049387681958,W36-F,Perillo,57,45,20150731,USGS-VWRLSC-2014,Wetland,Wetland_D,Interior,888.6666666666666,243.49027774799663,645.17638891867,1.0876247086666666,14.102186626666667,6.333333333333333,Loam,D,11602.333333333334,5619.333333333333,30.333333333333332,12266,1238.6666666666667,2845,636.6666666666666,186.66666666666666,1567,NA,NA,NA,NA,6,A/D,D,2015-07-31,2015
NA,44.846422,-72.764125,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.03090499983324,1011.9999999999999,1802,3950,214.8,0.23780597542405513,-32.30238045246773,46.36666666666667,45.333333333333336,8.266666666666667,NA,4255.570105820107,NA,NA,NA,NA,NA,NA,13.516666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1430.6526666666666,1131.868518596205,298.78414807046175,0.7911553551522673,CJB-F,Perillo,23,3,20150624,USGS-VWRLSC-2014,Corn,Corn_C,Interior,1430.6526666666666,298.78414807046175,1131.868518596205,0.16964398300000003,1.792633401,7.446666666666666,Loam,C,16062.26,3874.8926666666666,63.28593,21702.13,1849.1290000000001,5959.560333333334,636.4167000000001,308.42269999999996,341.01160000000004,NA,NA,NA,NA,5,B/D,D,2015-06-24,2015
NA,44.897939,-73.053833,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,20,NA,NA,NA,NA,NA,NA,0.08373655122959998,844,2068,5608,391.12,0.1540483615050995,417.3036908777603,9.933333333333334,63.93333333333334,26.166666666666668,NA,5478.798941798941,NA,NA,NA,NA,NA,NA,4.973846653666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1161.12,682.5686819373396,524.5563180626604,0.5878536946545919,WWH-F,Perillo,45,56,20150617,USGS-VWRLSC-2014,Wetland,Wetland_C,Interior,1161.12,524.5563180626604,682.5686819373396,0.4193643663333333,4.85710854,5.246666666666666,Silt loam,C,22939.61333333333,5065.409,26.900446666666667,22830.296666666665,4107.7536666666665,6800.5289999999995,770.9420999999999,282.2013666666667,718.4394666666667,NA,NA,NA,NA,3,C/D,D,2015-06-17,2015
NA,44.862025,-73.043797,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,20,NA,NA,NA,NA,NA,NA,0.06421273328873334,322.08,1329.6,3510.4,327.6,0.09282285969416229,476.72930813941394,49.73333333333334,38.43333333333333,11.866666666666667,NA,3469.8349206349203,NA,NA,NA,NA,NA,NA,1.4988333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,709.6067911333333,598.8485988510221,110.7581922823112,0.843916104430996,FHB-F,Perillo,31,17,20150627,USGS-VWRLSC-2014,Forest,Forest_C,Interior,709.6067911333333,110.7581922823112,598.8485988510221,0.2933707403333334,3.724636501666667,6.126666666666668,Loam,C,20270.023333333334,4742.926666666666,28.573363333333333,24496.736666666664,4565.579333333334,5393.878333333333,614.6123666666667,227.9321,367.4710666666667,NA,NA,NA,NA,3,C/D,D,2015-06-27,2015
DM,44.50281666666666,-73.21214333333333,0,13,0,0,13,1,2020,NA,2020,2019.58333333333,0,0.9557550385262266,0.14833644596380924,11.785922438888075,1407.3641092342452,1135.4286467262004,271.9354625080404,0.03760956613414843,757.7622340394676,629.6916563146992,2270.7091057423686,231.88765213770972,0.38142865622296135,-302.1748969886667,53.3299999999999,40.42,6.25,46.6700000000001,1979.978992638016,0.7628573124459217,0.6007878541095463,0.22478594792012416,1.0465802998729614,0.5777156642969842,0.5747567619240679,214.86428550172417,215.2640712210582,236.66207187574776,123.8205706463445,2455.385988438778,4.48900001115948,0.3697142862456895,0.40328571747413683,2.6208571412629316,11.070357146842673,17.93228552404314,33.0413565963083,2.9610000074396483,0.819286270136997,1,1407.3641092342452,1130.2739136423688,277.0901955918764,0.8141070132719092,DM,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Za1,43.74,-73.0572,8,1,0,0,9,0.111111111111111,1994,2003,1994,2018.53055555555,24.5305555555555,0.298769637996224,0.617466638486576,2.55244944017566,1482.5,512.068965517241,970.431034482758,0.218264604640082,758.4,2100,4740,94.1999999999999,0.15062443353325505,400.74349162410704,NA,NA,NA,NA,5035.039682539682,0.30124886706651,0.289032258064516,0.20792209927492,0.314543778801843,0.918893577121425,0.101701078403209,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3454090829795892,0.111111111111111,1482.5,512.068965517241,970.431034482759,0.3454090829795892,Za1,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Go1,43.95,-73.1637,3,6,0,0,9,0.666666666666666,2011,2015,2011,2018.48333333333,7.48333333333334,0.414540724228689,0.521743593137309,0.504752227189078,1860,367.5,1492.5,0.297015443615257,999.799999999999,5780,5300,222,0.10446985455605932,1203.4127983561405,NA,NA,NA,NA,9570.224867724868,0.208939709112118,0.34077175897748,0.256391390645401,0.150656323250362,2.26191474493361,0.0384003516196757,1.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1975806451612903,0.666666666666666,1860,367.5,1492.5,0.1975806451612903,Go1,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PoW2,43.75,-73.0559,8,1,0,0,9,0.111111111111111,1994,2003,1994,2018.53055555555,24.5305555555555,0.685255062597731,0.31517934402537,2.21879238924921,927.5,408.75,518.75,0.0807596632223493,477.599999999999,875.999999999999,3640,256,0.15810497664324835,217.82945468657712,NA,NA,NA,NA,3020.7777777777765,0.316209953286497,0.237022332506203,0.291306178258293,0.474856385329209,0.499145299145299,0.135312833339463,4.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44070080862533695,0.111111111111111,927.5,408.75,518.75,0.44070080862533695,PoW2,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QuH1,43.8,-73.1164,8,1,0,0,9,0.111111111111111,1993,2003,1993,2018.53055555555,25.5305555555555,0.151312042753429,0.681341561615057,1.01363704575423,1185,212.068965517241,972.931034482758,0.357837151867133,477.4,2400,5820,110.2,0.07986828565548466,898.6757942344335,NA,NA,NA,NA,5977.341269841269,0.159736571310969,0.148178694158075,0.109338277108493,0.17325,0.85528827796869,0.0354788117230711,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17896115233522447,0.111111111111111,1185,212.068965517241,972.9310344827591,0.17896115233522447,QuH1,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
