BD_mean,ln_BD_mean,clay_mean,ln_clay_mean,FF,HCl.Pi_mean,HCl.Po_mean,HCl.PSR_mean,ln_HCl.Pi_mean,ln_HCl.Po_mean,ln_HCl.PSR_mean,LOI_mean,ln_LOI_mean,MM.MUP_mean,ln_MM.MUP_mean,MM.P_mean,ln_MM.P_mean,Ox.P_mean,Ox.Al_mean,Ox.Fe_mean,Ox.Mn_mean,Ox.PSR_mean,Ox.SPSC_mean,Ox.PSC_mean,Ox.P2Fe_mean,Ox.P2Al_mean,Ox.Al2Fe_mean,ln_Ox.P_mean,ln_Ox.Al_mean,ln_Ox.Fe_mean,ln_Ox.Mn_mean,ln_Ox.PSR_mean,ln_Ox.PSC_mean,ln_Ox.P2Fe_mean,ln_Ox.P2Al_mean,ln_Ox.Al2Fe_mean,sand_mean,ln_sand_mean,silt_mean,ln_silt_mean,TP.ign_mean,ln_TP.ign_mean,WEPw_mean,ln_WEPw_mean,YSF_mean,DO.mgl_mean,lnSRP,
0.252617388,-1.375879237,10,2.302585093,0.222222222,452.4148404,798.351142,0.143482115,6.114599547,6.682548528,-1.941544884,0.293553521,-1.225695301,6.565,1.881752508,6.22,1.827769907,568.636708,1478.839973,2609.688068,77.15248879,0.181838568,154.1558016,1627.023834,0.43313973,0.361261664,1.192606154,6.343241756,7.299013258,7.866985979,4.345783837,-1.704635977,7.394507756,-0.8366949,-1.018152753,0.176140958,5.305,1.668649772,84.695,4.439056568,1250.765982,7.131511429,2.532979619,0.929396325,15.68333333,0.47,-1.645505602,0.192915
0.252617388,-1.375879237,10,2.302585093,0.222222222,452.4148404,798.351142,0.143482115,6.114599547,6.682548528,-1.941544884,0.293553521,-1.225695301,6.565,1.881752508,6.22,1.827769907,568.636708,1478.839973,2609.688068,77.15248879,0.181838568,154.1558016,1627.023834,0.43313973,0.361261664,1.192606154,6.343241756,7.299013258,7.866985979,4.345783837,-1.704635977,7.394507756,-0.8366949,-1.018152753,0.176140958,5.305,1.668649772,84.695,4.439056568,1250.765982,7.131511429,2.532979619,0.929396325,15.68333333,5.606666667,-3.361460792,0.034684555
0.154871068,-1.865162327,11.25,2.420368129,0.222222222,420.6972793,779.8682207,0.134624304,6.041913523,6.659124958,-2.005267312,0.345500849,-1.062760179,12.665,2.538842283,12.03,2.48740353,371.6003118,1793.268587,1935.70736,33.26236765,0.11847018,348.4124562,1565.245148,0.345793826,0.18024299,1.917929706,5.917818846,7.49179526,7.568228099,3.504426657,-2.133093996,7.355797735,-1.061912561,-1.713449391,0.651246326,37.3,3.618993327,51.45,3.940610462,1200.5655,7.090547975,0.390392958,-0.940601464,16.51944444,0.483333333,-1.233960951,0.291137111
0.154871068,-1.865162327,11.25,2.420368129,0.222222222,420.6972793,779.8682207,0.134624304,6.041913523,6.659124958,-2.005267312,0.345500849,-1.062760179,12.665,2.538842283,12.03,2.48740353,371.6003118,1793.268587,1935.70736,33.26236765,0.11847018,348.4124562,1565.245148,0.345793826,0.18024299,1.917929706,5.917818846,7.49179526,7.568228099,3.504426657,-2.133093996,7.355797735,-1.061912561,-1.713449391,0.651246326,37.3,3.618993327,51.45,3.940610462,1200.5655,7.090547975,0.390392958,-0.940601464,16.51944444,4.07,-2.495133473,0.082485441
0.412695214,-0.885045938,31.25,3.442019376,0.222222222,326.515968,771.209871,0.083980785,5.788478854,6.647960543,-2.477167255,0.268387516,-1.315323389,8.35,2.122261539,8.41,2.129421474,425.2175613,2138.920874,2585.882799,63.3434918,0.10936418,468.8542801,1943.634438,0.298729817,0.173702092,1.73596128,6.052600947,7.668056716,7.857822237,4.148572167,-2.213071863,7.572314921,-1.208215735,-1.750413564,0.551561312,16.73,2.817203515,52.02,3.95162826,1097.725839,7.0009959,0.224892072,-1.49213467,16.51944444,0.598333333,-1.526269326,0.217345
0.412695214,-0.885045938,31.25,3.442019376,0.222222222,326.515968,771.209871,0.083980785,5.788478854,6.647960543,-2.477167255,0.268387516,-1.315323389,8.35,2.122261539,8.41,2.129421474,425.2175613,2138.920874,2585.882799,63.3434918,0.10936418,468.8542801,1943.634438,0.298729817,0.173702092,1.73596128,6.052600947,7.668056716,7.857822237,4.148572167,-2.213071863,7.572314921,-1.208215735,-1.750413564,0.551561312,16.73,2.817203515,52.02,3.95162826,1097.725839,7.0009959,0.224892072,-1.49213467,16.51944444,5.235,-2.026267351,0.131826667
0.505317213,-0.682568901,35,3.555348061,0.222222222,270.8281961,654.1834264,0.074020148,5.601484657,6.483387781,-2.603417958,0.200977199,-1.604563817,5.225,1.653454798,4.7,1.547562509,355.031231,2054.574814,2412.495685,61.42454368,0.096281116,494.6911077,1847.222476,0.266998445,0.150621234,1.772262142,5.87220576,7.627824202,7.788417045,4.117809489,-2.34048307,7.521438425,-1.320512443,-1.892986976,0.572256777,15.485,2.739871813,49.515,3.902275654,925.0116225,6.829806302,0.129094843,-2.047207926,16.51944444,0.447777778,-1.325763443,0.265600111
0.505317213,-0.682568901,35,3.555348061,0.222222222,270.8281961,654.1834264,0.074020148,5.601484657,6.483387781,-2.603417958,0.200977199,-1.604563817,5.225,1.653454798,4.7,1.547562509,355.031231,2054.574814,2412.495685,61.42454368,0.096281116,494.6911077,1847.222476,0.266998445,0.150621234,1.772262142,5.87220576,7.627824202,7.788417045,4.117809489,-2.34048307,7.521438425,-1.320512443,-1.892986976,0.572256777,15.485,2.739871813,49.515,3.902275654,925.0116225,6.829806302,0.129094843,-2.047207926,16.51944444,4.238888889,-1.651626581,0.191737778
0.326656278,-1.1188468,18.75,2.931193752,0.3,694.5476167,523.9256833,0.118834463,6.543260722,6.261349849,-2.130023819,0.177484811,-1.728870243,5.53,1.710187816,3.125,1.139434283,725.2062577,1297.571948,8755.173863,540.3607485,0.124945355,732.1700967,3168.209466,0.180713941,0.486586601,0.398338349,6.586456108,7.168250065,9.077400103,6.292236969,-2.079878799,8.06092187,-1.710839936,-0.720340385,-0.920453512,3.795,1.333684411,77.455,4.349697123,1218.4733,7.105353961,0.60711,-0.499045285,15.58333333,0.295,-2.905593016,0.054716333
0.326656278,-1.1188468,18.75,2.931193752,0.3,694.5476167,523.9256833,0.118834463,6.543260722,6.261349849,-2.130023819,0.177484811,-1.728870243,5.53,1.710187816,3.125,1.139434283,725.2062577,1297.571948,8755.173863,540.3607485,0.124945355,732.1700967,3168.209466,0.180713941,0.486586601,0.398338349,6.586456108,7.168250065,9.077400103,6.292236969,-2.079878799,8.06092187,-1.710839936,-0.720340385,-0.920453512,3.795,1.333684411,77.455,4.349697123,1218.4733,7.105353961,0.60711,-0.499045285,15.58333333,5.456,-3.46429566,0.03129504
