site_ID,lat,lon,count_n,count_y,count_c,count_h,count_obs,frac_farmed,last_yr_y,first_yr_n,last_yr_farmed,smpl.yr,YSF,BD,MC60,WEPw,TP.ign,HCl.Pi,HCl.Po,LOI,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,sand,silt,clay,fines,Ox.PSC,Ox.DPS,Ox.P2Fe,WFPS,Ox.P2Al,Ox.Al2Fe,HCl.PSR,MM.P,MM.P.ICP,MM.K,MM.Mg,MM.Ca,MM.Al,MM.B,MM.Cu,MM.Fe,MM.Mn,MM.Na,MM.S,MM.Zn,IP2TP,FF,TP,Pi,Po,Pi2TP,study,OBJECTID,IDN,sample_date,project,Land_Use,LU_HSG,Transect,TPMD,TOP,Total_Inorganic,F__N,F__C,pH,TEXTURE,HSG,Al,Ca,Cu,Fe,K,Mg,Mn,Na,S,F39,F40,F41,F42,Value,Hydrogroup,HSG_2,sampledate,sample_yr
CTH-F,44.866628,-72.802908,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.03492245418129333,730.6666666666667,1325.3333333333333,3602.666666666667,338.8,0.20781117778628289,78.77339417275778,50.79999999999999,43.6,5.6000000000000005,NA,3516.0123456790125,NA,NA,NA,NA,NA,NA,12.747596333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1232.6233333333332,828.6042333333334,404.0191,0.6722282557255934,Perillo,27,11,20150610,USGS-VWRLSC-2014,Corn,Corn_C,Interior,1232.6233333333332,404.0191,828.6042333333334,0.22006988033333333,2.025664395666667,6.25,Sandy loam,C,13710.843333333332,8329.49,25.209999999999997,18989.823333333334,2417.605,4725.3966666666665,633.16,227.84333333333333,415.30333333333334,NA,NA,NA,NA,5,B/D,D,2015-06-10,2015
CSK-F,44.900131,-72.928517,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.03485614076265333,1101.3333333333333,3065.333333333333,4560,111.33333333333334,0.18222704434046672,290.02904526548895,72.39999999999999,20.8,6.8,NA,6043.742504409171,NA,NA,NA,NA,NA,NA,15.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1178.7106666666666,930.8035207665095,247.9071459001572,0.7896793904468296,Perillo,25,9,20150727,USGS-VWRLSC-2014,Corn,Corn_C,Interior,1178.7106666666666,247.9071459001572,930.8035207665095,0.204948538,2.0218179096666664,6.363333333333333,Loamy sand,C,9522.636666666667,1496.97,28.49,14831.333333333334,769.86,3055.7700000000004,299.27000000000004,155.74666666666667,415.03000000000003,NA,NA,NA,NA,4,C,C,2015-07-27,2015
MS.RN,44.953236,-72.83358744,12,0,0,0,12,0,NA,1995,1995,2020.77222222222,25.7722222222221,0.310940272485156,0.556370383459975,0.348509691769939,703.373859060402,144.262046979865,559.111812080537,0.218120805369133,317.919167569764,1330.90783941337,1730.03914648495,NA,0.12789515446557184,254.34549004404968,NA,NA,NA,NA,2485.779612982483,0.255790308931143,0.331961039260938,0.195995247574001,0.208051475313493,1.59557166687108,0.05803493046062,2.16,5.125,58.66,215.805,3307.69499999999,31.175,0.214999999999999,0.33,6.86,10.53,7.57,18.1699999999999,2.14,0.20510009736866913,0,703.373859060402,144.262046979865,559.111812080537,0.20510009736866913,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS.FE,44.95267188,-72.83421127,3,9,0,0,12,0.75,2020,1995,2020,2020.77222222222,0.772222222222126,0.928750213033297,0.255902244082385,0.103084376261606,514.2432,300.466960784313,213.776239215686,0.0866666666666658,194.775860523647,855.375360302411,2264.32387133539,NA,0.08712610301221128,319.8850047614424,NA,NA,NA,NA,2235.5626361062873,0.174252206024422,0.15538994745926,0.365910603791001,0.198326371435162,0.783506229326952,0.134403284404341,1.615,3.86,72.485,143.76,1559.1,39.855,0.125,0.81,16.865,6.795,18.7799999999999,15.6,1.9,0.5842896139109142,0.75,514.2432,300.466960784313,213.77623921568699,0.5842896139109142,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMR-F,44.978047,-72.334311,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.0870353121352,802.3999999999999,2317.6,6928,228.64000000000001,0.12352043703612721,693.0999532362924,19.1,60.56666666666666,20.266666666666666,NA,6496.091005291005,NA,NA,NA,NA,NA,NA,4.3790000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1130.1384999999998,865.7257731783976,527.2807127580933,0.7660351126684011,Perillo,53,35,20150710,USGS-VWRLSC-2014,Hay,Hay_D,Interior,1130.1384999999998,527.2807127580933,865.7257731783976,0.3205604716666667,5.04845198,6.390000000000001,Silt loam,D,27740.853333333333,4012.6933333333327,55.01,26882.143333333337,7053.91,7250,672.63,457.84,664.74,NA,NA,NA,NA,3,C/D,D,2015-07-10,2015
HHB-F,44.919417,-72.672672,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.037864432413400005,577.6,1224.8000000000002,3344,354.00000000000006,0.177319622459342,172.30230755788318,39.53333333333334,54.6,5.866666666666667,NA,3257.3947089947096,NA,NA,NA,NA,NA,NA,9.816666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1081.2166666666667,793.8439658898773,259.5152174387965,0.7342135858275806,Perillo,13,29,20150708,USGS-VWRLSC-2014,Hay,Hay_B,Interior,1081.2166666666667,259.5152174387965,793.8439658898773,0.20140158466666666,2.196312785,6.473333333333333,Silt loam,B,17819.076666666664,4498.07,23.376666666666665,24040.10666666667,1761.8633333333335,7261.923333333333,958.5,253.74666666666667,290.12666666666667,NA,NA,NA,NA,4,C,C,2015-07-08,2015
OCD.2,43.78125,-73.0973,9,0,0,0,9,0,NA,1993,1993,2019.51944444444,26.5194444444443,0.47284390966879464,0.5437969666486878,0.20352996631774742,1124.762789876774,319.0653698030827,805.6974200736934,0.1884259594478922,628.3813611443198,1876.2518450289347,5504.857068531541,251.57924664585846,0.12152131348389066,567.5879049258754,6.25500000000002,83.7449999999999,10,93.74499999999998,5201.54667283805,0.2430426269677805,0.2093466565675772,0.3274119938819207,0.29172216053198785,0.7140566227858409,0.062335354267258586,5.219810187899959,13.60163298024041,102.55628505271669,191.4037962398722,1520.7974000547024,51.59973224948888,0.15452938544073389,1.3350238663586063,158.08743809709787,59.587034978752776,35.139671464823564,31.230254698562963,4.257633875255553,0.2837828561675997,0,1124.762789876774,319.0653698030827,805.6974200736912,0.2837828561675997,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTK-F,44.910706,-72.928308,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.07211422869324,601.224,2286.824,4734.4400000000005,220.48000000000002,0.11459605220808088,606.5924922962774,22.2,44.06666666666666,33.76666666666667,NA,5246.463455026455,NA,NA,NA,NA,NA,NA,15.118333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1175.1883333333333,688.0783726502323,268.7032312712031,0.5855047681579256,Perillo,55,39,20150626,USGS-VWRLSC-2014,Hay,Hay_D,Interior,1175.1883333333333,268.7032312712031,688.0783726502323,0.35014557533333335,4.182959901,7.338333333333334,Clay loam,D,23594.103333333333,8042.954000000001,40.55272,24312.773333333334,4752.512333333333,5672.081333333333,605.9679,367.3675333333333,624.5397666666667,NA,NA,NA,NA,1,D,D,2015-06-26,2015
WBF-F,44.707528,-72.83325,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,20,NA,NA,NA,NA,NA,NA,0.13273853106792,576.8000000000001,4160,7440,786.6400000000001,0.06484638308756611,1470.9352081040904,53.400000000000006,40.699999999999996,5.900000000000001,NA,8894.867724867725,NA,NA,NA,NA,NA,NA,1.7986666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1092.9003333333333,710.3451263110555,382.5552070222778,0.6499633174641929,Perillo,41,46,20150617,USGS-VWRLSC-2014,Wetland,Wetland_C,Interior,1092.9003333333333,382.5552070222778,710.3451263110555,0.441302425,7.699450758,5.183333333333334,Sandy loam,C,17115.463333333333,5921.9766666666665,34.10333333333333,26421.606666666663,1949.1733333333334,6097.453333333334,1281.6866666666667,232.24,1189.24,NA,NA,NA,NA,5,B/D,D,2015-06-17,2015
OCD.0,43.78186,-73.0971,9,0,0,0,9,0,NA,1993,1993,2019.51944444444,26.5194444444443,0.3331230172706475,0.6564760117192929,0.5250161329694547,1114.639556742789,502.08128396822156,612.5582727745712,0.3030218401406204,644.4808499132625,2282.862881318587,4484.039633429698,150.5192319622239,0.126369022305365,528.8486478787336,6.44999999999996,78.55,15,93.55000000000004,5103.301015310664,0.25273804461072935,0.2607571620036057,0.2690801194305771,0.24588659293004722,1.0632221339921506,0.09809010679264545,5.183110020402296,12.221148639918912,91.71623463617343,288.80940094387734,1726.7250360057064,71.66347761641074,0.2708127405644781,1.3742046446780027,178.13482165395777,42.330670868750985,51.87521141278338,80.95490899191279,10.479752886773701,0.45296003898299175,0,1114.639556742789,502.08128396822156,612.5582727745675,0.45296003898299175,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
